id,femur length juvenile,femur length subadult,femur length adult
113,8.97,13.24,19.39
114,5.76,15.57,19.19
115,6.23,11.62,15.96
116,8.5,13.62,9.34
117,11.96,15.13,17.13
118,4.88,10.84,20.86
119,6.43,13.24,19.25
120,4.51,10.41,20.73
121,10.55,9.77,13.59
122,2.89,14.46,17.59
123,10.81,12.01,15.8
124,5.9,12.47,19.34
125,5.54,8.7,16.66
126,15.27,14.87,17.37
127,13.9,13.79,16.66
128,7.12,13.34,20.11
129,10.72,14.37,15.59
130,2.3,18.32,16.17
131,6.49,14.54,17.76
132,15.13,14.02,19.8
133,9.94,11.21,11.11
134,5.73,10.52,19.2
135,15.86,11.85,12.87
136,15.64,14.02,14.86
137,5.17,15.37,19.02
138,9.73,13,21.47
139,11.4,13.6,13.15
140,4.6,10.42,13.37
141,15.8,19.08,12.93
142,4.73,18.87,16.03
143,12.4,16.39,14.77
144,17.29,13.3,17.55
145,11.1,19,10.38
146,8.67,11.27,14.86
147,5.88,15.04,20.68
148,14.47,16.5,14.76
149,10.65,13.52,16.79
150,4.34,19.31,17.46
151,10.87,14.74,13.13
152,2.52,8.47,20.33
153,14.31,19.95,18.24
154,9.58,17.19,19.61
155,11.79,15.52,17.98
156,10.9,16.64,18.08
157,18.41,13.04,13.2
158,7.8,19.04,16.32
159,9.51,13.1,19.28
160,11.99,18.11,16.27
161,11.05,12.21,20.11
162,7.73,15.14,19.51
163,17.66,16.26,13.75
164,6.21,15.99,15.59
165,9.69,12.13,13.87
166,10.47,9.89,17.62
167,11.18,15.59,21.28
168,13.51,11.56,12.68
169,17.47,8.94,23.94
170,12.91,14.4,18.37
171,9.31,12.89,15.86
172,8.11,13.62,11.43
173,13.24,14.53,19.23
174,11.83,10.02,14.78
175,6.71,13.52,19.42
176,3.2,15.06,15.29
177,3.12,11.73,16.88
178,7,15.98,23.91
179,11.74,12.65,17.57
180,11.01,14.56,17.61
181,8.03,12.62,17.17
182,13.11,15.95,19.64
183,5.34,13.15,18.58
184,14.45,16.56,17.41
185,12.85,15.49,16.75
186,7.01,16.73,17.73
187,3.15,9.12,17.53
188,2.75,10.57,18.76
189,10.09,11.41,15.72
190,10.51,17.75,20.42
191,8.86,17.91,14.52
192,6.2,14.21,20.77
193,15.19,17.15,16.26
194,11.27,16.13,16.71
195,2.59,14.99,17.94
196,6.16,12.79,25.56
197,4.59,20.76,18.38
198,9.65,11.83,13.24
199,10.51,12.4,15.2
200,9.57,17.42,24.19
201,13.12,16.19,15.18
202,2.56,6.15,19.96
203,20.42,20.96,22.23
204,7.7,13.64,20.37
205,14.56,15.71,16.78
206,11.53,11.77,20.08
207,7.36,16.78,13.99
208,14.4,13.1,14.22
209,9.59,17.19,18.71
210,5.49,9.68,14.79
211,10.89,6.31,16.34
212,6.08,19.6,20.07
213,7.42,15.69,26.26
214,5.48,14.11,13.25
215,14.25,12.99,15.95
216,8.38,7.87,16.41
217,10.11,16.78,15.58
218,7.73,12.09,18.38
219,9.99,10.74,11.89
220,7.66,11.85,17.08
221,7.75,16.12,24.04
222,4.74,11.77,19.16
223,8.96,9.79,17.26
224,16.93,12.98,18.7
225,9.13,14.1,15.81
226,17.35,15.76,18.19
227,5.61,12.53,16.89
228,7.18,11.73,18.42
229,10,13.56,11.96
230,1.41,15.32,16.17
231,8.27,17.2,18.91
232,7.49,15.29,16.49
233,7.98,14.74,21.17
234,9.71,10.17,17.09
235,7.41,14.62,19.9
236,15.82,12.34,13.55
237,6.33,13.87,14.83
238,4.09,9.76,18.58
239,7.28,15.1,18.6
240,12.48,12.66,18.23
241,7.5,20.68,19.08
242,10.18,14.72,15.62
243,5.79,14.9,20.93
244,10.73,12.53,19.01
245,6.98,16.74,11.24
246,6.93,13.65,13.07
247,14.64,11.49,13.06
248,12.99,11.4,22.17
249,7.74,8.13,16.09
250,11.17,17.83,18.3
251,8.74,20.12,19.9
252,14.21,14.01,14.56
253,14.12,20.88,17.29
254,5.54,12.84,17.31
255,9.85,18.27,15.03
256,7.3,10.08,22.06
257,7.01,14.08,16.62
258,6.62,12.67,15.92
259,8.83,21.8,18.36
260,10.61,12.1,21.14
261,5.02,10.95,12.69
262,6.53,10.01,25.38
263,17.5,15.55,18.54
264,17.98,13.77,16.92
265,6.67,13.39,20.39
266,-0.64,9.45,18.51
267,17.07,16.97,15.81
268,11.22,12.16,13.3
269,8.44,11.76,16.06
270,6.97,17.09,18.01
271,3.32,13.9,17.07
272,11,15.85,21.2
273,5.03,15.88,20.55
274,19.96,14.46,14.5
275,14.12,13.58,15.87
276,7.66,9.44,13.67
277,11.33,11.81,13.81
278,2.45,10.32,21.23
279,2.81,12.28,13.6
280,14.3,17.97,14.42
281,11.1,13.07,16.18
282,12.05,15.74,18.04
283,12.13,15.6,17.08
284,2.61,13.2,18.76
285,9.79,18.95,18.48
286,3.48,15.57,13.79
287,5.49,13.78,17.33
288,6.42,14.08,16.35
289,13.84,17.86,11.65
290,8.02,17.23,17.26
291,7.36,18.21,23.84
292,17.29,12.91,20.86
293,8.2,13.16,12.31
294,3.04,17.8,19.58
295,10.18,12.47,20.77
296,7.12,16.44,20.24
297,5.74,20.02,16.47
298,8.1,16.32,18.43
299,8.7,15.62,18.09
300,8.98,13.97,10.93
301,10.13,10.81,17.15
302,6.9,15.81,18.25
303,11.73,13.6,18.21
304,7.85,13.33,19.8
305,4.73,11.6,14.43
306,12.38,14.35,16.13
307,6.66,10.65,20.79
308,11.81,15.36,20.28
309,7.64,11.27,22.23
310,-0.32,14.68,21.02
311,8.47,14.35,14.94
312,11.66,9.9,16.54
313,13.04,10.73,18.47
314,12.86,12.21,18.05
315,11.31,13.68,17.38
316,12.78,11.52,25.56
317,15.38,8.64,13.45
318,7.29,13.03,15.47
319,6.84,17.89,18.59
320,15.21,13.09,13.74
321,5.31,13.97,13.69
322,11.74,13.29,19.19
323,7.98,18.5,14.86
324,7.55,9.67,17.52
325,8.28,11.67,20.8
326,4.54,12.34,20.88
327,14.19,12.42,16.65
328,12.55,15.13,19.46
329,4.34,13.92,16.97
330,13.89,16.88,18.99
331,9.21,14.16,15.54
332,7.72,15.99,16.29
333,10.96,13.38,14.79
334,13.04,19.9,20.3
335,9.98,12.44,19.76
336,9.53,13.9,14.47
337,14.03,17.36,14.67
338,7.25,15.28,21.03
339,8.26,20.66,15.37
340,8.13,11.85,16.26
341,13.14,16.57,16.54
342,4.99,17.69,17.04
343,15.1,18.2,15.35
344,11.84,13.23,20.6
345,12.73,11.91,16.64
346,9.56,15.09,16.13
347,11.9,14.77,15.09
348,14.03,15.01,20.15
349,8.84,16.17,19.03
350,7.83,13.08,18.68
351,4.6,12.02,17.02
352,7.12,12.39,9.54
353,10.1,18.53,17.27
354,13.97,12.18,17.03
355,6.98,23.13,13.94
356,6.13,15.94,15.89
357,8.01,12.7,16.99
358,2.42,15.6,18.03
359,10.03,17.42,17.23
360,9.58,13.28,24.65
361,13.48,12.47,19.33
362,10.31,14.75,15.32
363,6.43,14.07,12.89
364,12.27,18.41,18.14
365,13.03,14.98,19.37
366,4.29,15.26,15.52
367,13.11,13.96,15.09
368,11.26,15.59,20.4
369,7.05,16.33,15.23
370,5.59,17.01,20.79
371,9.99,7.56,16.13
372,10.79,12.96,17.85
373,11.68,15.9,14.46
374,9.94,14.09,15.24
375,2.8,14.42,20.14
376,13.46,8.91,11.74
377,10.8,11.15,15.91
378,10.12,14.51,21.95
379,18.36,12.04,13.39
380,9.9,11.61,20.06
381,14.49,10.81,11.87
382,6.38,8.62,11.35
383,10.63,18.12,13.59
384,11.99,1.92,21.04
385,6.11,12.63,12.9
386,10.97,13.13,22.09
387,9.83,7.32,14.85
388,12.25,13.95,16.9
389,-0.03,17.54,12.94
390,8.41,17.84,16.29
391,4.5,8.16,21.21
392,4.34,14.98,18.48
393,18.31,15.95,12.93
394,9.15,14.31,15.4
395,6.26,14.22,19.85
396,11.01,9.32,18.58
397,16.42,11.65,19.13
398,13.6,14.06,16.56
399,13.81,16.32,13.88
400,10.12,16.63,11.89
401,7.69,12.72,22.67
402,11.05,11.37,19.99
403,12.42,13.82,21.34
404,12.08,13.95,16.77
405,7.33,15.19,11.91
406,7.24,19.58,16.5
407,12.3,16.45,12.46
408,16.69,12.37,12.84
409,7.9,12.23,19.16
410,9.47,12.28,23.32
411,11.78,8.15,21.25
412,6.49,11.34,17.32
413,10.64,9.53,16.39
414,3.74,13.3,14.08
415,14.48,14.64,16.86
416,3.78,11.89,14.41
417,13.89,13.17,19.92
418,6.68,12.75,17.66
419,14.22,9.75,21.37
420,5.61,14.85,15.82
421,4.58,12.02,21.46
422,10.09,17.46,18.83
423,2.73,4.59,18.86
424,7.32,15.4,15.46
425,7.96,17.76,20.33
426,3.98,13.47,15.7
427,4.77,14.46,18.17
428,9.21,11.54,21.1
429,7.2,13.82,15.57
430,9.58,12.63,19.39
431,8.97,11.76,18.49
432,9.33,17.84,17.09
433,11.29,10.43,20.23
434,5.85,12.31,17.75
435,12.24,11.85,16.75
436,8.65,13.89,20.02
437,14.94,15.4,17.01
438,11.3,15.67,22.22
439,17.95,12.53,16.8
440,-0.64,10.23,18.16
441,7.36,16,17.92
442,5.18,16.5,17.51
443,7.86,8.4,18.56
444,4.4,19.26,15.78
445,12.54,18.11,18.31
446,13.88,10.7,16.54
447,5.72,12.34,13.48
448,7.88,8.72,17.78
449,12.39,16.64,21.11
450,4.75,16.6,15.49
451,9.6,12.03,13.81
452,4.05,14.33,17.8
453,8.73,12.74,20.01
454,5.63,13.56,16.94
455,4.75,9.77,20
456,9.68,11.38,19.16
457,8.97,14.88,17.51
458,14.63,11.86,15.65
459,4.77,16.38,20.35
460,10.84,16.01,16.38
461,11.32,8.03,17.22
462,11.79,6.46,21.88
463,6.07,15.82,17.52
464,10.12,9.79,15.98
465,10.54,13.59,14.82
466,9.06,16.46,18.83
467,17,11.19,16.68
468,-4.45,16.37,22.12
469,15.24,14.63,14.93
470,18.78,8.06,15.92
471,4.37,14.05,15.98
472,9.28,13.46,15.75
473,15.04,6.95,18.86
474,14.24,16.33,19.84
475,5.54,12.9,13.03
476,10.68,8.04,20.57
477,11.31,11.61,23.54
478,7.76,14.16,16.19
479,1.98,14.39,18.06
480,5.78,15.14,16.41
481,10.51,14.56,23.4
482,8.62,14.37,21.64
483,0.96,13.87,15.75
484,15.37,13.43,15.13
485,0.09,15.16,13
486,11.84,15.41,14.89
487,5.07,9.92,20.95
488,12.89,17.99,19.96
489,10.5,15.91,15.76
490,10.77,13.54,16.28
491,16.01,10.88,19.03
492,11.33,14.66,23.57
493,6.14,17.54,17.14
494,8.39,15.09,19.87
495,7.69,15.8,12.23
496,10.55,14.05,21.48
497,11.29,5.21,15.23
498,7.65,17.84,14.97
499,14.67,16.78,19.47
500,5.98,16.81,16.26
501,10.47,12.82,20.46
502,5.3,11.01,22.88
503,12.4,17.46,15.79
504,19.56,6.79,19.36
505,9.11,15.67,11.66
506,1.39,16.74,15.6
507,7.76,16.87,16.71
508,8.94,16.33,17.43
509,7.86,13.52,21.33
510,5.22,16.98,15.05
511,18.76,13.06,12.98
512,11.9,14.39,23.44
513,16.98,13.7,11.87
514,5.39,17.76,15
515,8.89,14.78,18.35
516,3.25,15.59,20.72
517,11.52,15.63,22.85
518,12.22,13.41,19.24
519,12.45,12.46,19.37
520,15.25,15.73,13.92
521,5.07,15.15,15.5
522,11.85,14.62,21.66
523,9.73,11.21,9.03
524,6.84,11.6,16.74
525,14.27,19,22.83
526,17.31,18.78,22.91
527,7.39,11.25,20.54
528,5.75,15.67,12.78
529,11.46,12.85,16.9
530,8.91,15.07,17.05
531,9.38,15.31,18.02
532,5.99,11.13,18.87
533,10.63,16.29,24.97
534,9.54,22.76,15.56
535,4.26,8.84,19.41
536,10,16.48,15.49
537,11.65,12.31,20.92
538,11.12,12.38,12.68
539,6,16.25,12.44
540,8.86,11.37,21.99
541,5.49,14.39,16.63
542,8.56,10.99,21.28
543,8.66,14.11,19.49
544,6.66,15.19,15.28
545,10.43,14.44,20.18
546,7.35,17.19,11.06
547,10.26,15.85,19.45
548,11.01,16.49,16.32
549,13.11,19.4,12.35
550,12.39,17.7,18.34
551,12.12,15.07,18.42
552,8.02,14.69,16.63
553,10.94,14.54,23.63
554,9.47,11.62,16.28
555,10.77,18.48,22.62
556,13.57,17.97,21.35
557,16.07,13.36,17.81
558,11.05,15.82,24.85
559,8.86,16.29,17.59
560,10.93,11.39,22.68
561,11.45,16.04,17.74
562,15.89,15.07,16.58
563,11.85,17.23,15.54
564,8.23,18.45,20.5
565,21.58,11.42,25.3
566,12.31,15.69,21.41
567,10.84,18.87,18.13
568,13.02,7.67,16.22
569,11.18,16.76,15.07
570,6.59,13.54,16.54
571,7.81,10.47,21.87
572,4.45,16.22,24.85
573,13.07,15.29,13.78
574,14.04,8.13,26.65
575,15,12.25,20.13
576,12.05,8.26,12.53
577,7.49,17.94,20.08
578,5.52,16.35,14.84
579,3,13.76,21.12
580,6.78,19.82,13.47
581,16.64,18.11,13.33
582,6.82,14.01,13.26
583,6.87,15.4,18.07
584,8.69,13.15,22.98
585,9.76,16.94,16.61
586,8.94,16.91,17.46
587,11.6,12.89,20.63
588,1.97,14.7,15.07
589,6.57,11.91,20.75
590,12.21,16.06,18.95
591,8.75,17.13,19.48
592,3.47,13.61,17.72
593,10.03,16.68,15.39
594,9,10.64,19.22
595,13.9,15.11,25.46
596,13.43,13.39,20.42
597,11.77,14.22,17.49
598,2.15,11.04,16.03
599,7.93,11.57,16.11
600,4.94,15.88,17.49
601,7.39,12.67,12.84
602,14.44,13.65,13.27
603,6.73,13,16.55
604,11.84,11.35,13.35
605,9.48,11.13,12.89
606,8.21,15.26,21.67
607,10.96,14.26,22.31
608,14.94,17.67,12.75
609,7.49,12.22,17.96
610,10.23,12.13,14.69
611,12.25,14.57,25.8
612,8.54,11.88,13.31
613,3.79,10.99,14.35
614,9.33,11.78,19.8
615,12.45,14.78,15.89
616,8.4,13.35,21.96
617,0.61,16.4,15.08
618,8.2,18.23,15.7
619,9.23,9.38,15.93
620,10.57,11.18,19.27
621,12.8,12.88,12.11
622,12.94,12.28,16.64
623,9.28,11.19,14.43
624,9.42,16.14,11.65
625,8.4,20.54,11.32
626,7.39,8.68,16.29
627,7.17,16.12,15.42
628,10.41,7.43,19.25
629,17.04,16.8,17.45
630,10.74,9.55,19.84
631,9.98,15.49,19.54
632,14.74,17.94,15.94
633,11.16,11.11,17.87
634,10.49,7.53,21.21
635,11.98,13.59,17.16
636,7.49,13.64,12.71
637,5.93,14.11,18.36
638,7.56,10.15,20.8
639,6.44,9.24,12.11
640,6.21,14.69,14.64
641,13.18,18.4,14.49
642,6.09,19.49,18.01
643,6.68,8.42,19.49
644,6.32,12.22,18.05
645,8.15,12.34,18.6
646,16.82,9.41,17.46
647,4.19,16.8,12.96
648,4.67,9.35,14.18
649,6.13,15.48,17.51
650,8.1,11.36,19.08
651,12.16,15.31,8.15
652,6.58,12.57,18.37
653,5.88,17.19,11.35
654,11.74,9.59,14.24
655,10.65,13.78,19.23
656,13.5,6.85,18.64
657,6.48,14.24,18.43
658,14.45,12.94,17.58
659,14.09,14.25,16.21
660,16.73,12.41,21.91
661,8.62,12.46,13.05
662,7.1,14.74,13.28
663,16.75,18.38,16.36
664,8.43,14.28,16.31
665,6.72,11.63,17.93
666,8.37,15.82,20.89
667,7.63,15.77,16.92
668,12.13,11.95,18.4
669,12.78,14.64,19.35
670,9.59,10.25,21.46
671,7.78,8.7,22.42
672,13.74,12.58,16.32
673,12.35,16,19.67
674,8.78,17.58,18.52
675,9.52,12.93,15
676,14.86,16.94,14.09
677,4.48,11.57,17.1
678,13.5,14.31,16.33
679,11.66,19.37,15.22
680,10.02,17.45,18.41
681,1.61,17.52,19.58
682,10.17,14.56,20.51
683,14.61,9.64,12.44
684,9.89,12.94,17.67
685,9.2,17.03,15.01
686,6.91,15.82,14.83
687,7.44,13.04,13.21
688,6.3,16.39,16.96
689,12.15,15.43,20.99
690,5.94,9.24,19.38
691,8.32,16.96,13.95
692,13.73,17.3,19.39
693,8.31,19.37,15.42
694,11.56,17.46,15.28
695,10.96,14.68,14.73
696,10.15,13.42,10.79
697,10.2,18.93,18.04
698,10.97,10.4,11.88
699,10.86,13.1,15.47
700,3.9,12.08,19.09
701,1.02,13.27,17.1
702,3.03,18.09,13.31
703,6.02,18.27,15.34
704,4.96,15.91,21.53
705,9.68,12.32,17.49
706,13.57,17.9,21.25
707,8.27,12.02,17.68
708,5.09,9.64,18.77
709,2.22,14.21,20.53
710,10.82,7.52,17.01
711,11.33,17.57,16.42
712,18.52,13.11,19.86
713,13.67,15.75,17.92
714,10.41,19.35,14.41
715,3.62,16.32,17.75
716,10.3,8.64,18.66
717,13.58,12.52,17.9
718,9.35,17.45,15.18
719,8.63,13.18,15.43
720,13.2,12.9,21.26
721,15.59,18.41,17.38
722,14.72,12.04,12.65
723,5.02,17.37,20.07
724,5.64,14.38,20.86
725,9.61,17.94,16.06
726,6.11,18.76,17.52
727,14.26,13.17,16.3
728,9.31,17.2,21.48
729,4.25,15.9,15.66
730,11.84,12.3,22.7
731,5.09,14.59,10.39
732,7.38,14.75,21.81
733,13.65,10.52,17.28
734,10.91,18.62,17.89
735,12.21,14.29,15.3
736,3.09,14.16,20.03
737,6.84,16.57,18.6
738,-0.43,16.31,21.62
739,10.36,10.65,20.98
740,4.96,12.65,18.81
741,7.23,11.1,19.62
742,9.78,13.17,18.49
743,5.15,16.9,23.85
744,16.03,7.04,15.51
745,11.12,16.55,16.75
746,7.73,20.03,20.99
747,10.82,12.75,15.65
748,13.96,14.6,17.88
749,12.28,8.64,21.54
750,6.67,11.91,16.41
751,8.43,20.42,13.96
752,6.05,13.61,19.09
753,11.87,13.54,15.81
754,6.92,12.07,16.61
755,7.67,14.76,20.88
756,13.42,14.88,16.11
757,14.8,14.85,16.2
758,11.61,13.06,15.43
759,11.26,13.84,15.1
760,4.73,14.94,13.31
761,12.41,12.21,18.91
762,10.93,23.19,18.74
763,11.5,11.28,13.35
764,5.09,16.89,17.95
765,12.37,16,18.12
766,8.04,7.9,16.5
767,10.42,15.57,15.17
768,8.13,21.48,20.5
769,5.55,11.05,19.38
770,2.87,18.63,16.09
771,13.83,13.05,17.41
772,16.58,9.67,19.79
773,8.48,18.47,13.75
774,7.67,15.38,15.98
775,5.78,11.46,17.51
776,9.09,10.66,16.45
777,2.5,13.2,19.27
778,11.23,15.39,17.76
779,8.49,18.3,20.29
780,10.08,9.54,16.42
781,11.64,11.97,13.2
782,14.26,14.42,18.74
783,10.72,12.81,16.66
784,12.12,10.49,19.93
785,9.87,12.45,13.9
786,11.17,13.98,17.29
787,6.84,14.73,20.35
788,9.56,13.52,15.81
789,7.86,15.4,20.06
790,5.02,9.51,15.32
791,15.36,14.48,20.97
792,7.75,15.98,21.67
793,12.62,7.86,18.63
794,11.38,9.03,16.01
795,8.16,13.62,17.32
796,11.21,20.24,18.6
797,15.58,10.89,13.11
798,10.79,15.73,16.81
799,10.83,12.18,23.64
800,6.52,20.44,16.34
801,12.52,12.84,13.1
802,10.68,13.55,16.82
803,3.32,16.86,18.7
804,9.28,12.42,20.67
805,15.15,11.2,16.99
806,11.53,10.02,20.12
807,2.84,14.67,13.31
808,6.49,14.86,12.32
809,10.65,15.54,16.87
810,2.14,14.69,21.73
811,12.83,12.62,20.32
812,14.02,13.42,17.62
813,5.11,12.68,13.33
814,9.73,11.92,21.3
815,4.6,11.26,18.63
816,7.41,16.96,16.31
817,16.86,18.54,15.82
818,13.19,16.8,20.22
819,16.2,11.26,22.46
820,8.09,16.55,18.89
821,-0.76,11.21,14.19
822,4.15,17.44,19.61
823,11.77,17.3,20.25
824,7.73,10.33,23.6
825,9.83,17.89,17.16
826,5.59,10.45,20.51
827,4.67,14.14,16.82
828,18.04,12.98,14.07
829,11.39,17.82,23.55
830,5.24,10.05,16.65
831,14.32,6.52,15.65
832,5.66,12.17,16.9
833,15.97,14.26,16.86
834,9.76,11.9,16.42
835,10.25,15.24,21.21
836,8.93,13.44,18.27
837,9.72,15.34,17.49
838,6.16,11.6,23.67
839,9.96,20.75,15.64
840,3.69,11.8,17.13
841,3.23,19.1,18.62
842,5.98,12.19,16.52
843,11.07,11.57,17.16
844,12.79,18.96,19.03
845,9.49,8.39,22.65
846,18.02,15.82,22.61
847,4.68,13.4,18.36
848,5,13.53,18.58
849,12.8,20.7,19.82
850,6.03,13.37,21.86
851,7.9,8.19,20.2
852,10.35,7.59,17.02
853,3.79,14.52,20.39
854,9.21,13.36,18.33
855,2.69,12.09,25.26
856,8.37,16.4,14.23
857,11.48,14.11,24.56
858,13.52,12.79,22.53
859,8.68,17.36,22.07
860,4.44,17.51,25.17
861,11.32,8.72,12.69
862,5.74,10.88,15.93
863,2.66,16.99,15.59
864,12.72,13.32,19.13
865,12.2,14.48,18.34
866,4.83,11.8,18.13
867,16.02,14.29,16.47
868,12.47,12.65,10.6
869,5.07,12.48,24.16
870,15.1,17.18,19.34
871,12.83,16.32,21.28
872,13.77,17.07,13.72
873,10.13,18.01,16.25
874,13.57,12.32,20.7
875,2.38,15.04,15.45
876,13.96,14.7,22.53
877,5.05,17.94,14.85
878,9.58,17.17,16.13
879,0.67,11.64,17.74
880,13.61,11.06,20.72
881,11.57,12,16.21
882,6.91,18.08,14.23
883,11.27,18.78,12.4
884,17.99,10.58,19.33
885,10.85,17.81,18.8
886,8.14,19.48,16.7
887,8.56,16,11.39
888,14.88,15.11,14.33
889,10.96,18.49,19.81
890,9.8,19.28,17.69
891,8.81,17.64,10.88
892,3.38,14.12,19.73
893,10.86,17.48,18.14
894,14.36,14.79,19.6
895,8.86,18.29,14.66
896,3.32,17.75,17.37
897,10.48,12.79,12.24
898,2.86,13.87,13.4
899,9.47,14.37,12.36
900,6.21,16.97,18.15
901,12.13,15.1,15.34
902,8.69,15.43,14.3
903,11.63,15.17,23.86
904,4.91,13.13,17.61
905,7.73,12.36,20.13
906,6.91,18.97,13.48
907,12.38,15.96,14.83
908,6.45,8.68,17.31
909,5.2,10.76,20.85
910,6.19,11.42,15.31
911,16.34,16,19.79
912,17.54,12.48,18.2
913,6.73,17.83,16.39
914,2.48,13.8,18.11
915,13.39,15.01,20.63
916,9.29,14.17,16.31
917,7.88,15.96,20.52
918,15.22,14.35,14.93
919,5.8,14.87,20.29
920,4.04,11.93,18.67
921,11.99,13.39,13.31
922,10.59,12.57,15.55
923,10,16.06,16.93
924,8.35,16.66,20.24
925,7.52,14.42,12.19
926,12.76,12.36,10.15
927,8.54,16.21,22.43
928,14.6,12.79,19.4
929,11.94,13.52,18
930,11.29,18.63,15.08
931,12.37,16.19,16.55
932,9.39,14.55,13.14
933,4.39,14.51,11.68
934,3.73,14.29,18.06
935,6.04,17.59,13.71
936,5.08,18.92,16.54
937,7.24,8.72,14.35
938,10.4,12.96,11.56
939,12.87,10.79,19.69
940,12.7,19.22,20.25
941,8.04,15.44,13.13
942,6.85,12.83,16.9
943,7.47,8.76,20.66
944,10.34,16.81,20.86
945,10.13,12.11,13.77
946,16.31,9.94,16.06
947,6.64,14.9,17.72
948,10.64,16.22,16.78
949,15.57,11.56,21.77
950,11.22,13.97,14.54
951,5.32,14.33,16.08
952,12.08,13.26,14.61
953,7.2,5.23,16.29
954,14.43,15.59,21.85
955,9.02,11.2,20.4
956,10.22,13.36,19.85
957,9.32,11.95,22.2
958,10.08,14.4,17.17
959,4.03,12.18,17.4
960,11.21,13.27,15.71
961,14.31,7.55,15.46
962,12,10.1,23.44
963,18.83,16.99,22.43
964,3.93,13.22,17.62
965,7.02,9.39,17.27
966,4.81,17.52,21.98
967,7.74,17.98,17.36
968,10.4,16.87,14.57
969,13.86,9.86,17.48
970,7.79,12.78,15.63
971,9.24,15.5,22.62
972,17.36,12.9,18.19
973,8.18,19.03,19.13
974,7.12,11.97,16.69
975,16.78,14.39,17.51
976,10.28,11.64,20.58
977,9.13,12.21,12.96
978,7.66,9.82,16.2
979,7.22,14.72,13.49
980,3.87,15.28,16.96
981,5.97,20.93,13.8
982,10.29,21.02,18.74
983,16.16,14.02,20.73
984,2.66,11.5,20.77
985,7.46,13.59,20.1
986,9.56,14.27,16.91
987,8.26,12.47,20.3
988,10.78,16.68,18.17
989,10.66,16.61,22.29
990,9.81,8.9,17.51
991,6.43,13.75,21.54
992,5.37,11.15,15.81
993,6,14.3,16.97
994,4.2,11.84,20.05
995,7.54,15.2,14.57
996,6.62,17.19,18.87
997,13.07,18.55,15.92
998,7.34,13.54,14.06
999,6.07,18.11,13.93
1000,13.45,17.15,17.06
