id,femur inf,femur juv,femur sub,femur adult
87,8.14,9.32,13.91,15.44
88,8.53,13.2,9.81,23.78
89,5.65,5.97,14.52,17.51
90,6.57,8.5,10.98,19.4
91,5.96,7.4,16.75,23.28
92,7.17,7.36,15.54,13.37
93,6.7,8.4,20.46,16.63
94,5.6,4.05,9.53,18.54
95,4.79,8.9,18.01,15.36
96,4.85,7.23,10.77,14.64
97,6.33,9.98,14.05,17.49
98,5.99,6.94,8.72,15.15
99,6.68,9.78,15.38,16.28
100,8.69,8.46,11.79,18.94
101,8.03,9.33,10.05,16.27
102,4.6,8.13,12.03,17.86
103,5.83,9.26,17.22,17.65
104,8.1,10.78,12.97,18.15
105,7.18,7.62,14.65,20.52
106,5.69,8.05,10.86,13.02
107,6.58,6.54,11.74,15.59
108,6.4,9.4,13.21,22.22
109,5.42,7.64,12.47,16.74
110,5.25,5.58,10.93,14.78
111,8.15,5.21,9.99,19.16
112,7.1,11.23,17.39,19.13
113,7.94,7.32,16.06,16.7
114,7.42,7.69,13.93,15.41
115,5.61,7.23,16.92,25.14
116,4.2,9.72,11.07,16.04
117,6.03,8.78,13.65,17.62
118,4.06,8.42,13.57,18.8
119,6.04,6.3,15.31,19.33
120,7.35,9.8,18.48,19.1
121,6.22,8.9,15.9,20.13
122,6.93,7.96,15.85,19.21
123,8.57,8.04,15.21,20.25
124,6.24,7.44,15.86,17.5
125,5.06,11.53,12.62,15.9
126,3.28,6.91,9.38,21.54
127,4.7,8.21,15.45,19.31
128,6.01,7.37,12.53,20.58
129,5.26,8.45,12.14,18.4
130,4.53,8.85,14.93,17.08
131,4.74,5.95,12.91,20.76
132,6.41,10.16,15.67,22.26
133,7.44,9.48,14.78,21.19
134,6.23,11.94,13.25,20.56
135,5.4,11.25,6.2,16.41
136,7.05,7.39,16.75,16.29
137,5.35,8.33,13.58,17.8
138,3.29,8.67,13.23,24.52
139,6.93,7.53,17.56,17.96
140,9.25,7.66,16.65,15.33
141,4.58,10.12,17.6,16.64
142,4.48,9.42,9.81,19.07
143,7.97,7.6,15.06,18.37
144,4.24,8.37,14.89,15.09
145,5.9,11.85,13.38,21.43
146,7.9,7.95,20.16,16.99
147,4.14,5.27,15.09,17.69
148,3.12,8.29,18.19,12.86
149,6.1,4.3,18.94,18.46
150,5.96,5.36,11.43,12.86
151,4.08,7.7,13.14,16.06
152,5.29,5.77,15.54,19.54
153,4.78,8.26,15.03,18.01
154,6.86,7.01,11.27,17.8
155,7.09,10.48,19.18,17.48
156,5.51,11.81,10.67,19.07
157,5.3,9.19,16.07,17.62
158,6.99,8.4,14,12.33
159,9.34,3.3,10.77,20.52
160,3.27,9.22,18.35,18.57
161,5.3,5.99,11.51,14.8
162,6.96,9.63,13.77,20.13
163,6.73,7.24,16.92,16.47
164,7.09,7.75,6.87,17.75
165,6.09,8.26,11.17,19.61
166,4.8,7.66,11.57,19.19
167,6.74,9.59,16.51,13.49
168,4.95,4.66,12.9,20.36
169,4.2,6.34,13.9,23.03
170,5.15,9.27,14.5,16.67
171,4.65,8.03,15.97,18.16
172,6.42,5.69,15.94,19.68
173,8.76,7.07,21.58,21.17
174,4.73,6.98,18.11,21.42
175,7.4,8.75,17.38,18.54
176,6.87,7.83,13.11,14.97
177,4.99,7.91,13.01,18.39
178,5.18,8.97,15.97,21.75
179,4.94,7.37,16.08,18.8
180,5.56,9.22,15.6,16.99
181,5.87,7.58,9.49,15.89
182,3.02,7.85,13.03,19.76
183,6.06,8.75,17.53,19.51
184,6.54,9.14,14.93,17.11
185,9.05,11.63,15.02,12.99
186,6.45,10.04,10.62,18.38
187,4.9,8.6,15.83,18.35
188,7.75,8.39,13.08,20.18
189,4.82,7.68,13.05,21.53
190,5.97,5.89,6.17,18.35
191,6.99,9.67,13.94,21.04
192,8.51,6.94,17.38,22.48
193,5.48,5.73,9.52,15.8
194,6.21,7.31,15,17.61
195,5.84,4.27,9.21,16.95
196,5.38,6.76,13.11,14.83
197,6.48,6.63,17.04,14.1
198,6.96,4.76,16.77,15.64
199,9.57,2.41,16.9,16.34
200,6.46,8.57,16.98,22.41
