id,femur_length,age
262,16.7,subadult
263,11.84,subadult
264,11.56,subadult
265,14.32,subadult
266,12.55,subadult
267,8.66,subadult
268,17.65,subadult
269,18.08,subadult
270,20.44,subadult
271,12.51,subadult
272,14.68,subadult
273,14.8,subadult
274,10.79,subadult
275,16.26,subadult
276,18.59,adult
277,14.49,adult
278,18.33,adult
279,20.22,adult
280,20.55,adult
281,19.23,adult
282,14.59,adult
283,15.36,adult
284,14.74,adult
285,16.7,adult
286,20.05,adult
287,17.95,adult
288,18.97,adult
289,23.72,adult
290,16.86,adult
291,18.34,adult
292,16.81,adult
293,21.65,adult
294,19.64,adult
295,16.19,adult
296,13.69,adult
297,21.74,adult
298,14.05,adult
299,18.51,adult
300,16.17,adult
301,25.61,adult
302,16.6,adult
303,12.97,adult
304,22.57,adult
305,19.32,adult
306,17.78,adult
307,19.69,adult
308,20.79,adult
309,16.73,adult
310,13.9,adult
311,20.98,adult
312,16.54,adult
313,18.42,adult
314,22.16,adult
315,19.12,adult
316,14.34,adult
317,18.18,adult
318,21.36,adult
319,14.32,adult
320,18.16,adult
321,16.55,adult
322,13.47,adult
323,16.95,adult
324,16.1,adult
325,15.63,adult
326,18.88,adult
327,13.11,adult
328,17.67,adult
329,14.9,adult
330,9.3,adult
331,14.26,adult
332,18.85,adult
333,22.85,adult
334,14.39,adult
335,19.16,adult
336,19.29,adult
337,14.16,adult
338,22.91,adult
339,21.65,adult
340,17.6,adult
341,17.13,adult
342,18.52,adult
343,22.1,adult
344,14.16,adult
345,17.67,adult
346,15.67,adult
347,19.93,adult
348,13.02,adult
349,17.79,adult
350,20.77,adult
351,18.93,adult
352,22,adult
353,9.21,adult
354,21.15,adult
355,17.47,adult
356,19.18,adult
357,20.89,adult
358,12.49,adult
359,14.32,adult
360,21.4,adult
361,14.97,adult
362,18.46,adult
363,17.25,adult
364,11.44,adult
365,18.18,adult
366,17.05,adult
367,20.22,adult
368,23.11,adult
369,17.8,adult
370,21.83,adult
371,11.27,adult
372,16.25,adult
373,17.74,adult
374,20.3,adult
375,16.88,adult
376,21.29,adult
377,9.06,adult
378,12.72,adult
379,17.59,adult
380,21.57,adult
381,15.36,adult
382,15.29,adult
383,22.13,adult
384,18.81,adult
385,16.73,adult
386,17.29,adult
387,16.83,adult
388,19.39,adult
389,19.19,adult
390,15.96,adult
391,9.34,adult
392,17.13,adult
393,20.86,adult
394,19.25,adult
395,20.73,adult
396,13.59,adult
397,17.59,adult
398,15.8,adult
399,19.34,adult
400,16.66,adult
